date,latency,interference,power,snr,bandwidth,spectrum,allocated_power
20240101,121.89999999999999,0.1,0.935,40.53,72.13770452714883,13.803343970534426,1.1333480399984341
20240102,123.4,0.1,1.045,43.43,78.88235237307174,23.283724109438086,1.4015298535273037
20240103,130.9,0.1,0.435,54.32,42.96225378526188,9.116216116859682,0.22586243534007858
20240104,112.6,0.1,0.285,39.57,36.28159991617442,7.505889346071647,0.24487012631799734
20240105,115.1,0.1,0.285,31.709999999999994,39.01882589448492,9.61471877252654,0.19900784058073753
20240106,116.7,0.1,0.6,30.790000000000006,38.734579487245284,6.46206362612362,0.7650236572988289
20240107,112.10000000000001,0.1,0.735,27.819999999999993,40.48677293430869,5.95751441072225,0.900551983309688
20240108,139.9,0.1,0.605,42.33,77.8890365281871,10.918503556331201,0.4640404166459016
20240109,131.3,0.1,0.635,41.83,33.90292708012248,8.538199527628553,0.6518732924297383
20240110,116.6,0.1,1.385,44.67,40.97829175975353,6.570352958290039,1.6979686943885537
20240111,106.1,0.1,1.605,46.86,69.5472667074138,20.025155771758897,1.1010646778456572
20240112,112.0,0.1,1.605,52.02,64.76646078015847,19.32857383863873,1.6756697692227052
20240113,128.1,0.1,1.1,57.46,49.65402532877748,10.875666525859113,1.4779586362711972
20240114,118.4,0.1,1.35,56.7,37.77711765367631,10.569535088597311,1.6561792504948474
20240115,114.60000000000001,0.1,1.535,54.68,74.05821127538633,21.56705530521556,1.3452482544042925
20240116,121.5,0.1,1.035,56.55,51.56039737514785,6.8227386099783,1.104185770572568
20240117,120.0,0.1,1.285,57.74,76.69943251073423,17.21964122480295,1.8020161048333265
20240118,124.1,0.1,0.995,54.39,63.1543223047917,8.621133816500494,0.7642346303977934
20240119,125.19999999999999,0.1,0.57,50.7,36.26576900400689,5.8311853271561,0.29905940833344913
20240120,122.89999999999999,0.1,1.145,50.05,76.75418876093192,14.14510704776024,0.9206904945417216
20240121,111.19999999999999,0.1,1.32,46.99,56.55245824261896,14.534069691368085,0.9063519750561964
20240122,118.3,0.1,1.345,61.3,67.29369750718527,19.072829050628872,1.0881871215006975
20240123,130.7,0.1,1.13,60.73,48.98542131155822,5.910783080869066,0.6564779872111178
20240124,124.9,0.1,1.25,54.72,42.694231347622825,10.230723290506877,1.759829473632348
20240125,127.69999999999999,0.1,1.19,54.25,59.26385902575491,7.031846180859119,1.5408310679967245
20240126,149.9,0.1,1.29,61.95,72.6192560006742,11.827589811923305,1.6027906208938703
20240127,147.79999999999998,0.1,1.99,61.52,56.19015083594045,11.25309075999885,1.297486243465218
20240128,142.5,0.1,0.93,55.36,57.1666095432451,13.79074957052124,0.6969643273716223
20240129,153.7,0.1,1.505,55.16,46.08893045144586,4.889936044432354,1.897998096450668
20240130,161.6,0.1,0.91,57.08,58.978085207674496,15.62398735964589,1.3129366715704476
20240131,160.79999999999998,0.1,0.775,49.93,60.48033090982399,8.40319863033987,0.9094252358042032
20240201,142.6,0.1,1.11,26.840000000000003,30.27403693955962,6.935964171742232,1.5501921303797102
20240202,138.3,0.1,1.715,42.75,68.36217675960553,19.84143674475528,1.4756099134552054
20240203,157.20000000000002,0.1,1.595,60.08,65.77649405367664,15.750163522503614,1.7453861874042063
20240204,150.29999999999998,0.1,0.875,16.64,79.1588004517582,15.915207280727797,1.121880824447469
20240205,154.5,0.1,1.495,33.230000000000004,45.3952409742171,11.929374205471547,1.3727673026677154
20240206,126.8,0.1,2.25,58.72,38.12680176553866,9.327593786395722,1.7913341146953976
20240207,127.6,0.1,2.0,58.15,54.35974098689971,7.978833309202077,2.7998870401420652
20240208,125.1,0.1,2.425,57.76,31.96555511798878,5.780001690425646,3.4460637076583445
20240209,143.5,0.1,2.565,64.85,41.71564424766499,7.777466373817997,2.8254671234992683
20240210,156.9,0.1,2.335,66.49000000000001,73.81706297672942,19.708865006295085,1.900970257039916
20240211,150.7,0.1,2.1,57.48,38.30539519593971,4.861060647342315,2.310354586210128
20240212,169.1,0.1,1.505,59.65,41.50757267731957,8.869846532411087,1.8601169420260781
20240213,176.5,0.1,1.43,65.11,54.00709873221372,10.62191737287832,1.4261242791879503
20240214,167.8,0.1,1.825,58.72,51.6938586064266,5.878583168338935,2.163407183099531
20240215,167.60000000000002,0.1,2.15,54.57,65.49534706469689,18.527885571380157,2.9138022871971088
20240216,167.39999999999998,0.1,2.34,62.03,58.82371763765069,14.8924357534664,3.125295283911625
20240217,173.4,0.1,2.5,66.72999999999999,69.50309483944139,13.1015471599379,1.4200501479782
20240218,195.5,0.1,2.235,69.53,46.13105819504037,6.3640563439291205,2.230752706861831
20240219,198.79999999999998,0.1,2.06,62.23,36.73411138970677,3.9712255602965794,1.2091085847720906
20240220,206.0,0.1,1.915,44.81,53.26287165533372,15.002781771035083,1.7172999066728294
20240221,177.2,0.1,2.14,64.22,72.47698211924265,18.01965745443667,2.2730731850727635
20240222,170.79999999999998,0.1,2.565,64.47999999999999,62.731360099287265,6.527524731834187,3.268192156448105
20240223,157.89999999999998,0.1,2.78,61.46,35.35560757790496,6.779706923364355,4.11818066445251
20240224,170.10000000000002,0.1,2.315,66.11,64.11362625096024,10.458580391572855,3.2035897492307397
20240225,173.1,0.1,2.23,68.07,66.06343286667894,11.208905877290766,2.41266261654892
20240226,182.8,0.1,1.87,66.8,60.79002930346851,8.832313057301883,2.3821838697124256
20240227,175.10000000000002,0.1,2.1,50.0,31.05368636292809,8.570630430590855,2.0226040236205454
20240228,181.5,0.1,2.8,53.28,58.76074163598044,13.489346846686871,3.753698766882366
20240229,187.7,0.1,2.925,62.83,74.25090727341278,11.023425185989664,1.6435550728062638
20240301,221.70000000000002,0.1,2.17,63.47,48.51766577744912,14.368899174137798,2.7182547323880977
20240302,201.1,0.1,1.96,39.51,68.89132853580972,8.626501137007216,1.9884423045052384
20240303,185.6,0.1,1.795,30.25,69.54340208213668,13.815560325200265,2.5422396719474785
20240304,151.9,0.1,3.05,62.99,74.88797922368553,7.916662522657772,2.3605027319302474
20240305,146.5,0.1,2.915,68.74,38.803246064193644,4.835187212102081,3.27890805627979
20240306,154.8,0.1,2.53,66.83,36.10967624854603,8.07295664913009,3.3877898441885006
20240307,178.0,0.1,2.92,63.23,77.97632567342157,21.40010074464353,3.820447020266474
20240308,189.89999999999998,0.1,2.885,62.59,41.7607183389571,12.332327462632417,2.1205822861685717
20240309,186.70000000000002,0.1,3.14,62.54,34.029114815598994,4.137879719457795,4.600792326802895
20240310,199.7,0.1,2.635,64.06,30.584575287838295,5.403587053614446,1.705552489393025
20240311,225.5,0.1,2.915,68.96000000000001,77.01538805890351,13.658334466297195,3.177652832443061
20240312,231.29999999999998,0.1,2.8,65.33,72.48624821350042,14.610103495471893,2.2683705853335
20240313,230.79999999999998,0.1,2.71,65.43,45.02067371067055,12.88515276960786,3.168932205869937
20240314,225.10000000000002,0.1,2.905,64.22,78.83629977805191,11.699577974759551,2.0359633615340647
20240315,219.8,0.1,3.235,65.77000000000001,75.42824750997642,19.75084605182782,2.121934854158086
20240316,204.5,0.1,2.995,71.33,35.497018340501945,7.53222117312724,2.0790917900489605
20240317,214.0,0.1,2.79,73.73,52.52238655928133,5.524471907214151,3.728092435124027
20240318,226.4,0.1,3.29,71.57,77.77065460621611,21.21857058094969,3.263242391438264
20240319,232.89999999999998,0.1,3.17,71.69,46.314665497315886,8.693799912664462,2.8839274799704193
20240320,255.3,0.1,3.095,77.51,33.746048939261,6.575014953590327,3.599615119968193
20240321,219.0,0.1,2.825,71.5,56.20359045770556,10.671526018924158,3.4030494506975546
20240322,247.39999999999998,0.1,2.97,70.6,58.30873149193885,10.35893607069236,1.7345432021748421
20240323,267.5,0.1,3.17,73.56,76.17210026178162,21.264147220158552,2.6682580803013676
20240324,246.20000000000002,0.1,1.905,72.43,63.77416427761205,12.330688528389159,2.551755446471143
20240325,259.20000000000005,0.1,3.23,72.81,32.7823509721092,3.7305399570505746,2.797102025016635
20240326,273.4,0.1,2.665,72.75,66.95457999237115,10.849635944725048,3.7650544635304253
20240327,300.5,0.1,2.53,74.58,67.71027290349159,12.709371289660652,1.753424703632927
20240328,309.8,0.1,2.74,69.28999999999999,37.704073877264086,9.16596639249364,3.400329222130603
20240329,311.70000000000005,0.1,2.685,67.03,39.97627876309598,10.60139246815581,1.4485071726348557
20240330,299.6,0.1,3.125,71.23,40.38509569828083,4.734743243358096,2.939674147757777
20240331,286.0,0.1,3.335,76.58,73.56755236810537,12.024865853375752,2.9766778981975266
20240401,260.79999999999995,0.1,2.89,70.39,72.66879465357493,20.87408235692422,2.9409409148015424
20240402,268.09999999999997,0.1,3.31,80.66,76.56744705538485,20.899739348721866,3.1210488799891882
20240403,290.79999999999995,0.1,2.86,78.9,55.1082599101873,10.622330390087207,1.8698066929511938
20240404,299.6,0.1,3.16,81.03,31.79993731689712,4.0652337419912765,3.5936449962691275
20240405,287.9,0.1,2.6,78.69,54.34470911298354,6.315608021044622,3.793433394726968
20240406,276.8,0.1,3.26,80.86,65.6066795794315,10.958404426795648,3.8947358190886443
20240407,279.0,0.1,3.705,84.63,77.46774041453467,18.025353611396316,2.4533241983715546
20240408,294.1,0.1,3.63,84.19,40.88268825788942,8.952912850016267,2.546620740478861
20240409,293.6,0.1,3.07,85.22,34.89648787637157,8.37764485374828,1.778782961160364
20240410,304.8,0.1,3.19,84.06,38.203527723297505,5.454341497173604,4.628610917744485
20240411,312.4,0.1,2.89,73.84,68.62443526747343,18.416876518591476,3.4098294830326017
20240412,322.40000000000003,0.1,2.98,77.66,48.260679427665096,7.627526014154308,1.963497865277943
